Date,BA,JNJ,JPM,NVDA,PG,WMT,XOM,AAPL,AMZN,GOOGL,META,MSFT,TSLA
2022-10-25,142.08999633789062,154.33884249522677,113.1677659446304,12.678766712798822,120.1469730527204,44.62095327543813,95.21361939731834,147.6144876838341,119.6500015258789,102.19514899283054,130.07808327737007,240.80764249442944,210.1000061035156
2022-10-26,147.0500030517578,155.3818701395455,114.23582205726736,12.853557561264791,121.12034857704992,45.02838287303519,95.07940145232692,148.47013415168624,116.0,95.7694722811544,130.8732018241182,225.1375205085959,219.3999938964844
2022-10-27,137.10000610351562,156.316056394373,116.2790558551456,13.61364336887796,122.37189328381902,45.23690225959383,97.00317740205038,145.62779799425218,113.91999816894533,93.87254327552247,97.3796758722285,225.0109302722485,229.7700042724609
2022-10-28,141.16000366210938,156.90555108601183,116.36264867495323,13.088276375463284,123.45654975978375,44.928929629971705,97.9426894776886,145.75561931936116,97.91000366210938,91.63795683505978,98.96987783601818,220.33619766891604,225.3999938964844
2022-10-31,141.8800048828125,158.28415958076798,116.74342411305472,13.761466429946742,125.33849331614375,45.66357480708855,97.97848945833984,150.63384336153183,103.55999755859376,94.76638013798232,97.6182053655274,227.65996437056043,226.19000244140625
2022-11-01,143.99000549316406,157.8669432156923,117.8300649940374,13.794427679959076,124.87497670586976,45.86567931053641,100.54651654364172,152.52217870801033,103.98999786376952,94.79617956491803,93.75204218847024,228.47803488612004,234.0500030517578
2022-11-02,142.1199951171875,156.80577927775374,118.55449101264836,13.83337973273272,124.89349721929024,45.28502129587174,99.83962321040252,146.49328294195223,97.31999969482422,90.3170827641276,93.63277200588348,223.4721786248032,226.0399932861328
2022-11-03,148.7899932861328,154.01234745063007,117.30996709261544,13.027349108120536,122.12158321097289,44.75569711928186,97.15527411250454,139.71694502591794,92.47000122070312,85.72873183932593,89.52808692169103,214.34667250941115,211.3600006103516
2022-11-04,156.66000366210938,155.59953669051765,120.2634175074532,13.969216267739196,123.595616337968,45.56413312766316,101.1102139464058,139.97823249599168,91.48999786376952,84.81502856726082,89.79643515962205,211.8729869376078,222.6000061035156
2022-11-07,161.39999389648438,155.69930917533358,121.66576781086488,14.210928765101436,125.477557475607,45.31709986744835,100.58230016630932,135.0722797176196,91.9499969482422,86.68214691275777,94.19928710279072,216.1970958555256,208.6499938964844
2022-11-08,166.0,157.0234794721335,121.88869614603736,14.78323899130467,126.84031907933088,45.74056477703156,101.53971430475328,138.32322168629616,90.79000091552734,88.29104614257812,95.3323035432163,222.73199048300697,194.0200042724609
2022-11-09,169.2899932861328,158.05741241936113,121.96299610884148,14.145005518105632,126.88666871845987,45.79831342612673,101.1996881694629,136.44162616361422,89.47000122070312,87.8441196311482,101.0967730237281,221.4367201317789,190.77999877929688
2022-11-10,172.13999938964844,158.12998350241517,123.1796445577219,14.78224026793344,129.28776388457027,45.7181069360469,98.59588829278356,139.14087881229642,92.94000244140624,91.61810542419562,106.46368107716164,229.2864194585225,189.8999938964844
2022-11-11,176.39999389648438,156.66065611339351,125.55724588399028,15.788031870821106,130.90082658132323,45.76943383011061,100.73441328852836,143.65281852957958,97.87999725341795,94.0413989005852,108.56076505602978,236.64912297920637,186.0
2022-11-14,176.5,154.41142082746998,125.19501480227684,16.19853677571768,130.26114971798376,45.43901225988866,101.59044625712822,146.75601106211803,98.7699966430664,94.43864192776208,110.3099739092576,235.675194012061,192.7700042724609
2022-11-15,175.49000549316406,156.1709039946417,125.08356962635266,16.701930546617298,131.72593255719386,46.71261779088336,102.64577855940016,149.9576976256643,103.20999908447266,97.58694158277216,115.35884932437982,239.2494265791224,195.8800048828125
2022-11-16,174.11000061035156,157.48604740878028,123.52329767982036,16.142606655252838,131.17895929981387,47.440845558336925,102.3210680009896,146.91361736230309,96.8499984741211,97.22940010842292,113.79846267334166,237.12066452033324,191.50999450683597
2022-11-17,169.3000030517578,156.9055822507281,122.5945296075668,15.69614237342874,130.8174091127476,47.161739426179,100.38179345687269,144.25373060276158,95.37000274658205,96.30577068517638,109.73352955640752,232.22766434937836,183.9600067138672
