Date,AAPL,AMZN,GOOGL,META,MSFT,TSLA,BA,JNJ,JPM,NVDA,PG,WMT,XOM
2022-10-31,150.8108673095703,102.44000244140624,93.86261749267578,92.5892105102539,226.072509765625,227.5399932861328,142.50999450683594,157.7853240966797,116.9105987548828,13.48080348968506,124.84715270996094,45.66036605834961,99.15065002441406
2022-11-01,148.1652374267578,96.79000091552734,89.85029602050781,94.61670684814452,222.2158203125,227.82000732421875,143.3800048828125,156.9871826171875,119.01885223388672,13.52674961090088,125.04185485839844,45.455047607421875,100.13491821289062
2022-11-02,142.637939453125,92.12000274658205,86.37427520751953,89.98526000976562,214.35643005371097,214.97999572753903,147.41000366210938,154.5746307373047,117.92294311523438,13.203136444091797,123.24333190917967,45.15349197387695,98.076904296875
2022-11-03,136.5894012451172,89.30000305175781,82.85852813720703,88.3652572631836,208.65907287597656,215.30999755859375,156.75,154.8376922607422,118.13655090332033,13.404894828796388,122.3997039794922,45.14387130737305,99.41011810302734
2022-11-04,136.32337951660156,90.9800033569336,85.98694610595703,90.2337417602539,215.61277770996097,207.47000122070312,160.00999450683594,155.5269775390625,121.36861419677734,14.139012336730955,124.63391876220705,45.22407913208008,100.49281311035156
2022-11-07,136.85537719726562,90.52999877929688,87.88385772705078,96.12740325927734,221.92364501953125,197.0800018310547,164.91000366210938,156.88743591308594,122.0093994140625,14.283841133117676,126.54367065429688,45.69886016845703,101.68287658691406
2022-11-08,137.42674255371094,89.9800033569336,88.29104614257812,95.87893676757812,222.8975524902344,191.3000030517578,169.6199951171875,157.66741943359375,122.08372497558594,14.584478378295898,126.83103942871094,45.80793380737305,102.00499725341795
2022-11-09,132.86557006835938,86.13999938964844,86.72186279296875,100.84830474853516,218.65135192871097,177.58999633789062,168.74000549316406,156.40672302246094,120.49557495117188,13.759469032287598,126.52511596679688,44.742862701416016,97.44161224365234
2022-11-10,144.68719482421875,96.62999725341795,93.2965316772461,111.18457794189452,236.639404296875,190.72000122070312,177.5800018310547,158.2388153076172,125.45507049560548,15.73110008239746,130.88229370117188,45.66998672485352,98.8732681274414
2022-11-11,147.4751434326172,100.79000091552734,95.74961853027344,112.3275375366211,240.66160583496097,195.97000122070312,177.49000549316406,153.50440979003906,125.65940856933594,16.30740737915039,130.68760681152344,45.74056243896485,101.96025848388672
2022-11-14,146.07626342773438,98.48999786376952,95.04446411132812,113.52018737792967,235.2466735839844,190.9499969482422,173.5500030517578,155.9169921875,124.3684310913086,16.27544403076172,130.69686889648438,44.396392822265625,102.25791931152344
2022-11-15,147.81008911132812,98.94000244140624,97.76570892333984,116.36266326904295,235.6557159423828,194.4199981689453,175.35000610351562,156.352294921875,123.46755981445312,16.645998001098633,130.24264526367188,47.2996940612793,102.94342803955078
2022-11-16,146.5786590576172,97.12000274658205,98.17288970947266,112.53624725341795,236.08541870117188,186.9199981689453,172.69000244140625,157.3227996826172,123.6347427368164,15.890908241271973,131.40145874023438,47.639747619628906,101.843017578125
2022-11-17,148.47998046875,94.8499984741211,97.68624877929688,110.76715087890624,236.03659057617188,183.1699981689453,172.77999877929688,158.59254455566406,123.0960464477539,15.658187866210938,130.59490966796875,47.47933578491211,101.97830200195312
2022-11-18,149.04151916503906,94.13999938964844,96.76261138916016,111.3634796142578,235.58737182617188,180.19000244140625,173.88999938964844,159.807861328125,124.30341339111328,15.390508651733398,132.17092895507812,48.19474029541016,101.09435272216795
2022-11-21,145.81027221679688,92.45999908447266,94.94515991210938,109.1868896484375,236.39797973632812,167.8699951171875,172.94000244140625,160.62940979003906,123.5697250366211,15.298620223999023,133.84889221191406,48.4898796081543,100.0931625366211
2022-11-22,147.947998046875,93.1999969482422,96.38521575927734,110.75721740722656,239.30838012695312,169.91000366210938,172.5,161.40530395507812,125.4179229736328,16.018754959106445,134.99844360351562,48.663116455078125,102.98851776123048
2022-11-23,148.8248291015625,94.12999725341795,97.78556060791016,111.55231475830078,241.7988739013672,183.1999969482422,174.85000610351562,161.57875061035156,126.75531768798828,16.49917984008789,135.7678985595703,48.89730072021485,102.47440338134766
2022-11-25,145.90878295898438,93.41000366210938,96.79241180419922,110.72740936279295,241.7109375,182.86000061035156,178.36000061035156,161.78872680664062,126.9967803955078,16.250478744506836,136.01820373535156,49.10582733154297,102.11361694335938
2022-11-28,142.0765838623047,93.9499969482422,95.39207458496094,108.11351776123048,236.11476135253903,182.9199981689453,171.8300018310547,161.870849609375,124.777099609375,15.80800724029541,135.90696716308594,49.24698257446289,99.04685974121094
2022-11-29,139.0719451904297,92.41999816894533,94.5379638671875,108.78933715820312,234.71812438964844,180.8300018310547,175.32000732421875,160.7389678955078,126.8296356201172,15.620231628417969,134.86865234375,49.07374572753906,99.70530700683594
2022-11-30,145.82998657226562,96.54000091552734,100.29823303222656,117.37641143798828,249.1822967529297,194.6999969482422,178.8800048828125,162.48245239257812,128.33419799804688,16.907018661499023,138.28024291992188,48.89730072021485,100.42689514160156
2022-12-01,146.10580444335938,95.5,100.29823303222656,119.70207214355467,248.74281311035156,194.6999969482422,175.77999877929688,163.15792846679688,126.53241729736328,17.118816375732422,138.36367797851562,49.202056884765625,99.9398193359375
2022-12-02,145.61322021484375,94.12999725341795,99.75200653076172,122.73338317871094,249.0651397705078,194.86000061035156,182.8699951171875,163.28573608398438,125.52938079833984,16.860061645507812,139.62448120117188,49.1539421081543,99.09195709228516
2022-12-05,144.45082092285156,91.01000213623048,98.79856872558594,121.6798858642578,244.3576507568359,182.4499969482422,185.1000061035156,163.1944580078125,122.0093994140625,16.594314575195312,138.21533203125,48.6502799987793,96.3769760131836
2022-12-06,140.78607177734375,88.25,96.3156967163086,113.4207992553711,239.3962554931641,179.82000732421875,178.42999267578125,160.74807739257812,122.2137451171875,15.971901893615724,138.39149475097656,48.08565902709961,93.69808197021484
