Price,Close,Close,Close,Close,Close,Close,High,High,High,High,High,High,Low,Low,Low,Low,Low,Low,Open,Open,Open,Open,Open,Open,Volume,Volume,Volume,Volume,Volume,Volume
Ticker,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA,AAPL,AMZN,GOOGL,META,MSFT,TSLA
Date,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2022-02-25,161.66860961914062,153.7884979248047,133.53848266601562,209.19039916992188,288.2669372558594,269.9566650390625,161.9333881865455,153.99000549316406,134.34491711381497,210.0252640729232,288.5772111518248,273.1666564941406,157.76540780776472,149.2135009765625,130.84902416146156,201.93512273825735,282.7790897770282,260.79998779296875,160.6780917637284,150.5500030517578,132.63719764584428,203.68434904426056,286.16295712554097,269.74334716796875,91974200,62396000,36406000,37627600,32546700,76067700
2022-02-28,161.9333953857422,153.56300354003906,134.13189697265625,209.73703002929688,289.7018737792969,290.1433410644531,162.22760877136363,154.4499969482422,134.8216284091714,211.84403605748028,290.04123393567045,292.28668212890625,159.2953064697166,150.85000610351562,131.68427023720545,205.56276622248285,284.087976805865,271.57000732421875,159.91315308309024,152.4250030517578,132.13864070917086,206.40754922184917,285.35812887426613,271.6700134277344,95056600,57684000,38864000,34239800,34627500,99006900
2022-03-01,160.0504608154297,151.14199829101562,133.1431884765625,202.2432403564453,285.97869873046875,288.1233215332031,163.38485445669167,154.0989990234375,135.3221600936974,210.45262661274012,290.84599781965625,296.6266784667969,158.84420231864755,149.9770050048828,132.30597577184693,200.98101728702946,283.26384685818056,284.59332275390625,161.5215128724912,152.7324981689453,133.95459346241825,208.58414035237334,287.3845772168943,289.8933410644531,83474400,44874000,26496000,27094900,31217800,74766900
2022-03-02,163.34559631347656,152.05250549316406,133.64968872070312,206.83493041992188,291.05926513671875,293.2966613769531,164.13016029917193,152.99949645996094,134.3359496769534,207.86855176605417,292.30033079862653,295.49334716796875,159.8052642347465,148.75,132.15996371146767,200.78224691066754,284.7666778653276,281.42333984375,161.21747641613547,150.8489990234375,133.70580496937254,203.52533119353012,286.3761603919426,290.7099914550781,79724800,47334000,23520000,29452100,31873000,74643300
2022-03-03,163.02200317382812,147.89849853515625,132.98231506347656,201.7263946533203,286.91925048828125,279.7633361816406,165.65029092720997,153.9290008544922,135.5049097951273,207.79895900787028,293.90994138598603,295.4800109863281,162.3551333488954,146.8560028076172,132.1142937033128,200.18588854181493,285.10610393119026,277.5333251953125,165.21877988081016,153.531494140625,135.07834743813976,207.73932905708776,293.67725074308635,292.92333984375,76678400,65198000,24604000,27263500,27314500,61623600
2022-03-04,160.02105712890625,145.64100646972656,131.00296020507812,198.83424377441406,281.04345703125,279.42999267578125,162.3551314170317,147.85000610351562,132.93464460585957,204.62852558700732,286.6670590433166,285.2166748046875,158.97171433702658,143.8070068359375,129.44470730870609,197.57202073039406,278.43530465770755,275.0533447265625,161.31559025270195,147.15899658203125,132.01697782761468,201.13008813754922,285.33873439242245,283.0333251953125,83737200,60934000,30430000,32130900,32356500,66999600
2022-03-07,156.2257080078125,137.4530029296875,125.51283264160156,186.32139587402344,270.4266357421875,268.1933288574219,161.8353202073776,146.09449768066406,130.83264033914966,199.6591713857494,280.8787484843386,288.71331787109375,155.9707161123603,137.41650390625,125.42990090344138,186.13255755390946,270.05818914409025,268.19000244140625,160.2073525837716,145.44349670410156,130.58733818371817,199.5597780071735,279.7540276651711,285.4333190917969,96418800,86934000,45112000,38560600,43157200,72494100
2022-03-08,154.401611328125,136.01449584960938,126.23385620117188,189.1240692138672,267.4596252441406,274.79998779296875,159.73662866525098,140.69949340820312,130.35096043233546,195.4947982013397,275.3229335452845,283.3299865722656,152.7932618336368,133.57249450683594,124.81365114823323,184.96968773286514,261.7875556211475,260.72332763671875,155.75498387793954,136.68350219726562,125.38520955872268,186.69903205433374,269.35029539224405,265.1766662597656,131148300,91662000,40428000,37508100,48159500,80399100
2022-03-09,159.8052978515625,139.2790069580078,132.50608825683594,197.2838134765625,279.72479248046875,286.3233337402344,160.25642710163922,140.25,132.8194330626874,197.88014341213315,280.79134006810534,286.85333251953125,156.33362131227005,136.8280029296875,129.01069565399868,192.73187278658716,272.23960794178544,277.336669921875,158.363665526824,139.5,130.35095429762737,194.54072913659797,274.8187031666756,279.82666015625,91454900,82656000,37026000,31894700,35204500,59184000
2022-03-10,155.46078491210938,146.8175048828125,131.52236938476562,194.01397705078125,276.90338134765625,279.4333190917969,157.29469168011647,148.67449951171875,132.3590970925639,195.07741339567661,277.88267026842374,284.8166809082031,152.96979505950804,143.97799682617188,130.01576245076538,189.8993429697998,272.04575796281966,270.1199951171875,157.10835602606574,145.68499755859375,130.3668413584077,193.64623368658738,274.41154435304935,283.8166809082031,105342000,135062000,27102000,24853000,30628000,58648500
2022-03-11,151.74386596679688,145.52450561523438,128.98089599609375,186.4605255126953,271.55126953125,265.1166687011719,156.20605863983377,149.6750030517578,132.87901308686813,192.37406719042482,280.70414052887327,281.26666259765625,151.51830892022346,145.36900329589844,128.74353470326596,185.52628240924875,270.9307218618932,264.5899963378906,155.86280729409629,149.57449340820312,132.5741092235153,191.45970579447481,279.2012682861542,280.0666809082031,96970100,68900000,31526000,34694500,27209300,67037100
2022-03-14,147.71319580078125,141.85299682617188,125.08824920654297,185.4865264892578,268.0316467285156,255.4566650390625,151.14564967186587,147.4499969482422,129.51571269481013,191.11183625421538,276.719106007811,266.8999938964844,147.20324199995284,140.88400268554688,124.41688480642178,184.6814917698799,267.43050973402933,252.01333618164062,148.52717951449867,145.9810028076172,129.35780521773768,185.88406963095346,271.81301620136327,260.2033386230469,108732100,74086000,38812000,31010500,30660700,71152200
2022-03-15,152.0969696044922,147.3665008544922,128.31301879882812,190.85345458984375,278.4159851074219,267.2966613769531,152.56771702935066,147.98500061035156,128.96503124625056,191.10192287058513,279.06561927939794,268.5233459472656,147.4778746009712,142.0,124.85933803680028,184.77095593019092,270.25210599773294,252.19000244140625,147.98782853142856,142.85000610351562,126.1062389125735,189.63099489488027,271.8228270355456,258.42333984375,92964300,75584000,30920000,31721700,34245100,66841200
2022-03-16,156.5101318359375,153.10400390625,132.3675537109375,202.3823699951172,285.4356994628906,280.07666015625,156.9122229988077,153.14999389648438,132.41968439619922,202.4817481989591,285.6102173906511,280.6666564941406,151.4791438617729,147.35350036621094,127.85268781908668,193.3281860832671,274.58605778034723,267.4200134277344,154.01915688013034,148.5,129.83750304335058,193.50707594936193,280.3162702005297,269.6666564941406,102300200,84958000,35576000,40640300,37826300,84028800
2022-03-17,157.52023315429688,157.23899841308594,132.92222595214844,206.5666046142578,286.2403869628906,290.5333251953125,157.89290442537197,157.49850463867188,133.1620725593792,206.76537622347416,286.6185090686592,291.6666564941406,154.58794593498652,152.13999938964844,131.27954871173705,199.87784214793186,280.56831866168585,275.239990234375,155.549028989307,152.6405029296875,132.23694993148916,200.4642237029757,284.36909826948613,276.9966735839844,75615400,72934000,28264000,29499700,30816600,66582900
2022-03-18,160.8153839111328,161.25050354003906,135.1930389404297,215.16357421875,291.29193115234375,301.7966613769531,161.30573452736996,161.593994140625,135.31072696869558,215.47167242658261,291.8446007868361,302.6166687011719,156.67682351294607,156.01100158691406,131.35252366520865,204.73784084439905,283.8261567927943,289.1300048828125,157.41234943730183,156.81300354003906,132.5105368869364,205.43354892100476,286.38584155941965,291.4966735839844,123511700,102962000,44566000,52128000,43390600,100414200
2022-03-21,162.18836975097656,161.4915008544922,135.16921997070312,210.1942138671875,290.0605773925781,307.0533447265625,163.13965111509174,163.08399963378906,136.1112244178566,213.39448625669743,291.01077978950843,314.2833251953125,159.86409772398687,159.55299377441406,133.173978749984,206.35786334117677,285.9301425844851,302.36334228515625,160.3544483255179,161.12100219726562,135.23079176119532,213.185766246382,289.79880052322176,304.99334716796875,95811400,66538000,26832000,30142300,28351200,81981600
2022-03-22,165.56199645996094,164.88900756835938,138.90992736816406,215.32260131835938,294.8115539550781,331.32666015625,166.1504082464849,166.16700744628906,140.0838376848272,218.1153974717066,295.72296480391606,332.6199951171875,161.72745088254396,161.69900512695312,135.16923238113208,208.8922411400877,289.6824490018245,307.25,162.31586266906788,161.8054962158203,135.16923238113208,210.07495255701588,290.6811188141461,310.0,81532000,64086000,35496000,31998800,27599700,105868500
2022-03-23,166.9251708984375,163.4080047607422,137.32835388183594,212.15216064453125,290.380615234375,333.03668212890625,169.30826781804822,166.3699951171875,138.63236376165838,215.47169319086976,294.0068784229763,346.8999938964844,164.41456305995604,162.68699645996094,136.89088038172886,210.86012256901202,288.66446272341494,325.4666748046875,164.74801286692667,163.7050018310547,137.7524310062296,212.0229522873893,291.36960955369653,326.64666748046875,98062700,55812000,25154000,23717300,25715400,120676200
